Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34897,"The Dragon Reborn (The Wheel of Time, #3)",Robert Jordan,"Jordan, Robert",,0765305119,9780765305114,0,4.27,Tor Books,Mass Market Paperback,624,2002,1991,,31/3/22,to-read,to-read (#30),to-read,,,,0,0
6900,Tuesdays with Morrie,Mitch Albom,"Albom, Mitch",,,,5,4.15,Warner,Paperback,210,2000,1997,11/11/22,10/11/22,read-self-improvement,read-self-improvement (#3),read,,,,1,0
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,0060589469,9780060589462,4,3.78,HarperTorch,Mass Market Paperback,540,2006,1974,10/11/22,27/9/22,read-self-improvement,read-self-improvement (#2),read,,,,1,0
386162,"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,,,5,4.23,Del Rey,Paperback,193,2007,1979,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#75),read,,,,1,0
13035774,This Will Make You Smarter: New Scientific Concepts to Improve Your Thinking,John Brockman,"Brockman, John",,0062109391,9780062109392,0,3.79,Harper Perennial,Paperback,399,2012,2012,,26/10/22,to-read,to-read (#29),to-read,,,,0,0
36204378,The Book of Why: The New Science of Cause and Effect,Judea Pearl,"Pearl, Judea",Dana Mackenzie,046509760X,9780465097609,0,3.94,Basic Books,Hardcover,432,2018,2018,,26/10/22,to-read,to-read (#28),to-read,,,,0,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,0316346624,9780316346627,0,4,Time Warner Book Group,Paperback,301,2002,2000,,26/10/22,to-read,to-read (#27),to-read,,,,0,0
60455079,Green Lights,Matthew McConaughey,"McConaughey, Matthew",,,,0,4.21,,,,,2020,,22/10/22,to-read,to-read (#26),to-read,,,,0,0
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,0765326361,9780765326362,4,4.75,Tor Books,Hardcover,1087,2014,2014,18/10/22,5/10/22,read-fantasy-fiction,read-fantasy-fiction (#73),read,,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,0765326353,9780765326355,5,4.65,Tor Books,Hardcover,1007,2010,2010,5/10/22,18/9/22,read-fantasy-fiction,read-fantasy-fiction (#72),read,,,,1,0
43877,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin S. Sharma,"Sharma, Robin S.",,0062515675,9780062515674,5,3.88,HarperOne,Paperback,208,1999,1996,21/9/22,3/8/22,read-self-improvement,read-self-improvement (#1),read,,,,1,0
30186948,Think and Grow Rich,Napoleon Hill,"Hill, Napoleon","Muhammad Ghous Siddiqui, Ben Holden-Crowther, Ann Hartley, Bill Hartley",,,0,4.18,,Paperback,233,2016,1937,,16/9/22,to-read,to-read (#25),to-read,,,,0,0
2656458,An Autobiography: The Story of My Experiments with Truth,Mahatma Gandhi,"Gandhi, Mahatma",,,,0,4.1,Navajivan Publishing House (Ahmedabad),Hardcover,640,1948,1927,,16/9/22,to-read,to-read (#24),to-read,,,,0,0
10883,Benjamin Franklin: An American Life,Walter Isaacson,"Isaacson, Walter",,074325807X,9780743258074,0,4.03,Simon & Schuster,Paperback,586,2004,2003,,16/9/22,to-read,to-read (#23),to-read,,,,0,0
233649,"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,"Jordan, Robert",,0812517725,9780812517729,3,4.25,Tor Books,Mass Market Paperback,705,1991,1990,18/8/22,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#71),read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,075640407X,9780756404079,0,4.52,Penguin Group DAW,Hardcover,662,2007,2007,,7/8/22,to-read,to-read (#22),to-read,,,,0,0
37502596,The 5 AM Club: Own Your Morning. Elevate Your Life,Robin S. Sharma,"Sharma, Robin S.",,1443456632,9781443456630,0,3.8,HarperCollins Publishers,ebook,336,2018,2018,,7/8/22,to-read,to-read (#21),to-read,,,,0,0
49094710,A Bookshop in Algiers,Kaouther Adimi,"Adimi, Kaouther",Chris Andrews,1788164695,9781788164696,2,3.74,Serpent's Tail,Hardcover,208,2021,2017,7/8/22,10/4/22,,,read,,,,1,0
16144575,How Asia Works: Success and Failure in the World's Most Dynamic Region,Joe Studwell,"Studwell, Joe",,080211959X,9780802119599,0,4.27,Grove Press,Hardcover,320,2013,2013,,31/3/22,to-read,to-read (#20),to-read,,,,0,0
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",Роберт Джордан,0812511816,9780812511819,4,4.19,Tor Books,Mass Market Paperback,800,1990,1990,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#70),read,,,,1,0
256274,"The Singapore Grip (Empire Trilogy, #3)",J.G. Farrell,"Farrell, J.G.",Derek Mahon,1590171365,9781590171363,0,3.92,NYRB Classics,Paperback,584,2005,1978,,19/7/22,to-read,to-read (#19),to-read,,,,0,0
